Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,^,^,^,0.01,0.01,0.01,^,^,^,^,0.01,0.01,0.01,^,^,0.01,0.01,0.02,0.01,0.01,0.03,0.05,0.04,0.04,0.05,0.03,0.05,0.04,0.05,0.03,0.11,0.08,0.09,0.10,0.17,0.19,0.15,0.18
China,17.05,17.83,19.34,20.78,21.77,22.08,23.16,24.23,25.81,27.51,27.85,29.14,28.55,28.34,29.16,29.56,31.09,34.08,40.62,47.36,55.46,60.91,66.33,67.38,70.58,73.23,79.72,80.72,82.45,82.10,80.38,78.03,78.90,80.47,82.52,84.25,87.54,88.41
China Hong Kong SAR,0.14,0.16,0.21,0.24,0.26,0.23,0.25,0.26,0.30,0.22,0.23,0.17,0.15,0.18,0.16,0.18,0.29,0.22,0.28,0.26,0.29,0.29,0.31,0.29,0.30,0.26,0.31,0.31,0.33,0.34,0.28,0.28,0.26,0.27,0.26,0.14,0.15,0.15
India,3.09,3.32,3.64,3.91,4.25,4.59,4.89,5.18,5.36,5.53,5.87,6.04,6.32,6.53,6.47,6.88,6.94,7.25,7.59,8.08,8.84,9.18,10.04,10.87,11.77,12.05,12.52,13.64,14.44,15.84,16.17,16.52,17.05,17.93,17.96,16.97,19.30,20.09
Indonesia,0.04,0.06,0.09,0.10,0.15,0.14,0.14,0.18,0.21,0.21,0.23,0.27,0.33,0.36,0.49,0.55,0.70,0.72,0.97,0.89,1.02,1.19,1.50,1.32,1.36,1.55,1.79,1.82,1.59,1.69,1.92,1.96,2.04,2.36,2.88,2.76,2.75,4.38
Japan,3.00,2.86,2.91,3.15,3.15,3.27,3.24,3.19,3.25,3.40,3.53,3.62,3.72,3.54,3.73,4.00,4.09,4.35,4.47,4.59,4.81,4.72,4.96,5.09,4.27,4.87,4.62,4.88,5.07,4.99,5.03,5.02,5.10,4.99,4.91,4.57,4.93,4.92
Malaysia,0.01,0.01,0.01,0.01,0.05,0.06,0.07,0.07,0.06,0.06,0.07,0.07,0.07,0.07,0.08,0.10,0.12,0.15,0.22,0.28,0.29,0.31,0.37,0.41,0.44,0.62,0.62,0.66,0.63,0.64,0.73,0.78,0.87,0.93,0.88,1.04,0.94,0.94
New Zealand,0.05,0.05,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.06,0.06,0.08,0.09,0.10,0.09,0.07,0.09,0.07,0.06,0.06,0.07,0.06,0.06,0.06,0.05,0.05,0.06,0.06,0.06,0.07,0.05
Pakistan,0.06,0.06,0.07,0.07,0.08,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.08,0.09,0.10,0.13,0.14,0.16,0.17,0.23,0.25,0.21,0.19,0.17,0.17,0.13,0.20,0.20,0.22,0.30,0.50,0.56,0.65,0.72,0.64
Philippines,0.05,0.04,0.04,0.05,0.04,0.05,0.06,0.06,0.06,0.06,0.07,0.09,0.11,0.12,0.14,0.19,0.19,0.18,0.18,0.19,0.22,0.21,0.23,0.27,0.25,0.29,0.32,0.34,0.42,0.45,0.49,0.55,0.65,0.68,0.73,0.73,0.79,0.84
Singapore,^,^,^,^,^,^,^,^,^,^,^,^,-,-,-,-,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02
South Korea,0.92,0.98,0.99,1.05,1.03,1.01,1.01,0.99,1.08,1.11,1.15,1.34,1.46,1.51,1.60,1.80,1.91,2.06,2.14,2.23,2.29,2.37,2.50,2.77,2.87,3.23,3.50,3.38,3.41,3.53,3.58,3.41,3.61,3.63,3.44,3.02,3.04,2.87
Sri Lanka,^,^,^,^,^,-,^,^,^,^,^,^,-,^,-,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.02,0.04,0.05,0.05,0.06,0.05,0.06,0.07,0.07,0.06
Taiwan,0.29,0.35,0.38,0.44,0.46,0.45,0.50,0.57,0.64,0.67,0.69,0.78,0.89,0.97,1.00,1.18,1.23,1.34,1.43,1.48,1.51,1.59,1.66,1.59,1.52,1.63,1.69,1.65,1.68,1.70,1.65,1.67,1.70,1.70,1.67,1.56,1.68,1.58
Thailand,0.07,0.07,0.09,0.10,0.12,0.16,0.19,0.20,0.23,0.26,0.30,0.37,0.38,0.30,0.32,0.33,0.37,0.39,0.40,0.45,0.49,0.52,0.58,0.63,0.63,0.65,0.66,0.69,0.68,0.75,0.73,0.75,0.75,0.80,0.71,0.76,0.78,0.71
Vietnam,0.12,0.13,0.14,0.14,0.11,0.09,0.09,0.09,0.09,0.10,0.13,0.14,0.19,0.20,0.15,0.20,0.21,0.25,0.29,0.37,0.39,0.24,0.26,0.50,0.47,0.61,0.73,0.67,0.72,0.87,1.10,1.19,1.19,1.58,2.09,2.20,2.16,2.05
Other Asia Pacific,1.44,1.43,1.37,1.39,1.38,1.30,1.28,1.11,1.02,0.94,0.87,0.76,0.74,0.68,0.76,0.82,0.85,0.81,0.83,0.83,0.89,0.91,0.78,0.85,0.68,0.67,0.56,0.58,0.45,0.52,0.50,0.62,0.96,0.96,1.06,1.04,1.07,1.06
